id,framework,title,acronym,objective,keywords,start_date,end_date,total_cost,ec_max_contribution,funding_scheme,status,topics,legal_basis
101083038,HORIZON,Realizing the Promise of Higher-Order SMT and Superposition for Interactive Verification,Nekoka,"Proof assistants (also called interactive theorem provers) have a long history of being very tedious to use. The situation has improved markedly in the past decade with the integration of first-order automatic theorem provers as backends. And recently, there have been exciting developments for more expressive logics, with the emergence of automatic provers based on optimized higher-order calculi. The Nekoka project's aim is to make higher-order SMT and -superposition a perfect fit for logical problems emerging from the verification of software and mathematics. We will start by extending higher-order SMT and -superposition and implementing them in automatic provers to provide push-button proof automation for lemmas expressed in higher-order logics. To reach end users, we will integrate the automatic provers in interactive tools: both general-purpose proof assistants and software verification platforms. As case studies, we will use our own provers and integrations to formalize quantum information theory and verify a big data framework in collaboration with domain experts. Beyond providing representative case studies, this will help build a user community around our tools and technologies. In terms of scientific impact, the improved higher-order SMT and -superposition calculi will substantially advance the art of higher-order automation and help reorient research in automated reasoning towards the needs of end users, whether computer scientists or mathematicians. Our tools will outlive the project, serving end users and continuing to be useful for future research. At the societal level, the project will herald a future in which automatic provers and proof assistants are routinely deployed in tandem to verify critical computing infrastructure and to formalize research in computer science and mathematics, thereby leading to more trustworthy software and science.","interactive theorem proving, proof assistants, automatic theorem proving, SAT solving, SMT solving, logic, proofs, software verification, formalization of mathematics",2023-07-01,2028-06-30,2000000.00,2000000.00,HORIZON-ERC,SIGNED,ERC-2022-COG,HORIZON.1.1
101080085,HORIZON,Quantum Computational Fluid Dynamics,QCFD,"Scientific and technological progress is broadly underpinned by the ability to accurately predict and optimise complex fluid flows which arise across the physical and life sciences including climate research, as well as in the energy, chemical, automotive, aircraft, and ship building industries. The wide separation of length and time scales that need to be covered when designing and optimising flows and a large number of design parameters make numerical simulations highly demanding. Current capabilities are thus insufficient to meet future demands of users in academia and industry.

We will tackle this challenge by developing a quantum software framework for solving a wide range of industrially relevant computational fluid dynamics problems. This will consist of platform-independent quantum algorithms and hardware optimized software for platforms in the European Quantum Technology Flagship Projects. Tensor-network simulations, gate-level classical simulations including realistic quantum noise models, and implementations on quantum hardware will provide detailed information on quantum hardware requirements, achievable quantum advantages, and provide feedback to hardware developers. The quantum software will be verified and benchmarked against standard computational fluid dynamics results. It will be developed in agile cycles to respond quickly to user demands and progress in the quality of quantum hardware.

We will demonstrate the feasibility and advantages of the quantum approach starting from a core set of highly scalable and industrially relevant design examples arising in the thermal management of battery-electric-vehicles aimed at increasing their efficiency. Subsequently, we will extend our approach to a wider class of fluid flows and industry partners. We will create an interface between the quantum software framework and the industry standard computational fluid dynamics software OpenFOAM to make it widely available and maximise its impact.","computational fluid dynamics,  battery electric vehicles,  battery cooling,  variational quantum algorithms,  quantum software,  optimization,  industrial design",2022-11-01,2026-10-31,4935146.25,4935143.25,HORIZON-RIA,SIGNED,HORIZON-CL4-2021-DIGITAL-EMERGING-02-10,HORIZON.2.4
190181387,HORIZON,BioSim M2M: Molecules to Medicine,biosim m2m,"BioSimulytics has developed breakthrough technology combining quantum physics, computational chemistry, machine learning, and high-performance computing to boost the success rates of pharmaceutical R&D. The BioSimulytics invention (patent EP3948877A1), is being applied to crystal structure prediction (CSP) for determining the most stable crystal structure or polymorph of a drug compound, as well as the most stable binding poses in protein-ligand complexes.
Existing state-of-the-art techniques for polymorph analysis require long and painstaking experimentation by material scientists with uncertain results (<1% success rates). BioSim M2M will reduce the time to find the most stable crystal structures of a molecule from 3 months to 3 weeks and reduce candidate experiments from 400 to 40. As a result, BioSim M2M will contribute to the Pharmaceutical Strategy for Europe by helping to ensure that patients have access to high quality, effective, and safe medicines.",,2023-09-01,2026-02-28,3570750.00,2499525.00,HORIZON-EIC-ACC-BF,SIGNED,HORIZON-EIC-2023-ACCELERATOROPEN-01,HORIZON.3.1
101218381,HORIZON,Breaking Barriers in Scalable Quantum Computing,MCQube,"At Quobly, we are charting a realistic path toward large-scale quantum computers using our proven semiconductor manufacturing processes. Our solution addresses the critical need for a new computing paradigm in the face of rapidly advancing artificial intelligence and big data technologies. We have developed silicon spin qubits with integrated on-chip control electronics, implemented on CMOS FD-SOI technology. Our ground breaking innovation, protected by 40 patents, is the result of two decades of rigorous European research and development. Our methodology involves modifying only 10% of standard semiconductor fabrication processes, enabling us to leverage existing infrastructure for the efficient and cost-effective production of quantum processors. We have already achieved significant milestones, including the successful demonstration of one and two-qubit gates, the fabrication of four-qubit chips, and the seamless transfer of processes from our pilot line to a commercial foundry. We have set ambitious targets in our development roadmap, aiming to demonstrate a 100 physical qubit chip by 2027 and a 1000 logical qubit chip by 2030. These advancements will facilitate real-world applications of quantum computing in medical research, drug discovery, mobility optimization, energy management, and other fields critical to Europe's technological sovereignty and economic competitiveness. Quantum computing offers a once-in-a-generation opportunity for Europe to leap ahead in the global tech race. With EIC Accelerator support, we will ensure that the next wave of world-changing innovations will be made in Europe","quantum computing,  quantum technology,  fault tolerance,  qubits,  quantum error correction,  Silicon Spin Qubits, FD-SOI Technology, CMOS Integration, Fault-tolerant Quantum Computing",2025-10-01,2027-09-30,0.00,2499455.00,HORIZON-EIC-ACC,SIGNED,HORIZON-EIC-2024-ACCELERATORCHALLENGES-03B,HORIZON.3.1
101171750,HORIZON,Symmetries and Spectra,SYMSPEC,"""Symmetry is ubiquitous in nature. It is a fundamental concept and organising principle in quantum field theory, the common language of modern theoretical physics. The past few years have witnessed a radical evolution in the notion of symmetry that transcends the paradigm of groups and representation theory and marches into the realm of higher mathematics. This is known as categorical symmetry. 

The field has experienced a period of rapid discovery and exploration but the underlying mathematical structure remains poorly understood and this hinders progress on the most pressing open problems. Now is the time to take stock of recent developments and establish new mathematical foundations and computational tools in order to take advantage of this unprecedented opportunity to explore novel symmetries and gain new insights into physical systems described by quantum field theory.

The purpose of this research programme is to establish a coherent mathematical framework for categorical symmetry. The research programme introduces and explores the notion of ``categorical spectrum"""", which compiles topological quantum field theories of all dimensions into a mathematical structure that opens up powerful conceptual and computational advances. This is applied to the exploration of categorical symmetries, 't Hooft anomalies and gapped phases of matter, catalysing a step change in the discovery of new examples and applications.""","Symmetries, Quantum Field Theory",2025-10-01,2030-09-30,1999876.25,1999876.00,HORIZON-ERC,SIGNED,ERC-2024-COG,HORIZON.1.1
101221875,HORIZON,Artificial atoms in Silicon Photonics for Error-corrected Quantum Technologies,ASPEQT,"Light is one of the most powerful tools we have to interrogate Nature and to develop new technologies. However, at its most fundamental level, light is extremely fragile: single photons can be easily lost and their state inevitably erased. Quantum error correction offers a solution to tolerate such noises by encoding quantum information in the entanglement between multiple photons, making quantum states of light resilient to noise. Successfully implementing this would enable advanced quantum applications, such as quantum computations beyond the reach of conventional computers and unconditionally secure quantum networks. However, challenges in generating robust entanglement with photons have so far posed severe limitations to demonstrating photonic quantum error correction. ASPEQT will develop a new generation of quantum photonic devices that can generate entanglement at the scale required to support quantum error correction. It will do so by advancing foundational hardware building blocks through the integration of emerging color centers in scalable silicon photonic circuits. The project will develop novel techniques for embedding and controlling color centers within silicon nanostructures, achieving highly coherent spin-photon interfaces in silicon—a transformative development for scalable photonic quantum technologies. The technology will be benchmarked by generating robust entanglement between multiple photons and spins, culminating in the experimental realization of quantum error correction of logical photonic qubits that can tolerate photon loss, the dominant noise mechanism for quantum light. This project represents a highly promising and innovative approach to scalable quantum hardware, building on the applicant's unique expertise in solid-state photonic devices and quantum error correction with photons. Success will unlock transformative possibilities for scaling quantum technologies, from robust quantum networks to photon-based quantum computers.",,2025-11-01,2030-10-31,2115405.00,2115405.00,HORIZON-ERC,SIGNED,ERC-2025-STG,HORIZON.1.1
101171255,HORIZON,"Multidimensional Hyperentangled Photon Graph States:  Creation, Validation and Application",HyperGraph,"At the heart of quantum physics and quantum technology lies the captivating phenomenon of entanglement, which society hopes to profit from in improved and completely novel technical applications within the second quantum revolution.

Entangled quantum states are extremely difficult to create and validate; only 50 years ago entangled states were shown to violate Bell’s inequalities, using two entangled quantized states of electromagnetic radiation, known as single photon states. For this achievement the 2022 Nobel Prize in Physics was awarded.

Ever since, entangled states have driven fundamental and applied research. Intriguingly, entanglement can theoretically be created between an arbitrary number of photons. Their creation, however, has been very challenging, and over the past years, the size of one-dimensional entangled photon states has been increased to 14 in 2022. The slow progress is mainly limited by the development of deterministic single photon sources.

Recently, I have designed a novel spin-photon interface in diamond with record-high emitter to detector efficiencies theoretically exceeding 99% and realistically reaching 90%. These record efficiencies are enabled by the Sawfish interface. Multiplexing of several of such interfaces will enable the creation of large 2D and even 3D photon graph states. 

These states will be so complex, that new theoretical models are required for their understanding. The usage of states whose density matrix could never be computed on classical computers is indeed a conceptual problem in theory. In this regime, HyperGraph’s experimental research will stimulate concepts and new discoveries in theory. Moreover, because of the many degrees of interconnection between the individual qubits, I expect innovative concepts for error correction, novel and possibly improved protocols in fault tolerant quantum information processing, and even completely new application cases to be developed in parallel and beyond HyperGraph.","quantum states of light, entangled photon states, entanglement generation, color centers in diamond, diamond nanocavities, nanophotonic spin-photon interfaces, feedforward operations, error correction, photon graph states, hyperentanglement, hyperentangled photon graph states",2025-12-01,2030-11-30,2515938.00,2515938.00,HORIZON-ERC,SIGNED,ERC-2024-COG,HORIZON.1.1
101130224,HORIZON,HIGH-TC  JOSEPHSON NEURONS AND SYNAPSES: TOWARDS ULTRAFAST AND ENERGY EFFICIENT SUPERCONDUCTING NEUROMORPHIC COMPUTING,JOSEPHINE,"""We aim at realizing a novel class of high-temperature Josephson junctions (JJs) that behave as artificial neurons and synapses. These JJs will enable a new neuromorphic computing paradigm, in which neural networks are much faster, more energy efficient and compact than with non-superconducting approaches, and possess novel capabilities (combined sensitivity to light, magnetic and electric fields). Via these rupture ingredients, JOSEPHINE will dramatically enhance the impact of neuromorphics on its broad range of projected applications: from artificial intelligence (where it would allow supercomputer-level processors at a fraction of the environmental cost) to the control of autonomous vehicles, the Internet of Things, and novel medical applications. That constitutes the long-term vision for the science we propose. To reach that goal, we will use different strategies to realize high-Tc Josephson junctions whose weak-links are active and can be changed """"in operando"""" by external stimuli. Those strategies include """"weak links"""" modified by a nanoscale redox reaction, by the motion of domain walls in a ferromagnet, or by locally doping a graphene or a 2D semiconductor. Once realized, these JJs will be implemented and tested in neural networks to demonstrate their performance and their transformative effect on neuromorphics. The proposed strategy exploits recent breakthrough results of the partners (physical effects that will be implemented) and synergizes their complementary expertise via a multidisciplinary approach that marries traditionally distant disciplines: neural network engineering, superconducting electronics, and various facets of solid-state physics (superconductivity, magnetism, Dirac materials, and electrochemistry).""","superconducting electronics, cuprates, Josephson devices, cryogenic memory, proximity effects, graphene, quantum circuits, quantum electronics",2024-05-01,2028-04-30,3438122.50,3438122.50,HORIZON-EIC,SIGNED,HORIZON-EIC-2023-PATHFINDEROPEN-01-01,HORIZON.3.1
101067680,HORIZON,"Auto-tuning, manipulation and braiding of topological quantum bits in tapered nanowire networks",TopoTapered,"Quantum computers will revolutionize multiple technology fields which will have a massive impact on society, in areas such as communication, healthcare, machine learning & artificial intelligence, finance, materials research and development and aerospace designing. Currently, the commercialization of quantum computers for real life applications is still a long shot due to major technical challenges like decoherence, a process in which the environment interacts with quantum bits and changes their quantum behavior causing computing errors.
Topological quantum computer platforms offer an alternative route where the topological nature of quantum bits protects them from decoherence, therefore not needing error correction protocols that constraint development of commercial quantum computing systems. These mainly rely on Majorana zero modes, which are topological boundary modes predicted to be decoupled from decoherence. Topological computation is achieved by braiding of Majorana zero modes, but their manipulation is still an experimental challenge.
The TopoTapered project aims to develop tapered nanowires and tapered nanowire networks as a scalable technology for auto-tuning, transportation and braiding of Majorana zero modes bound at ends of topological superconducting segments. The innovative tapered nanowire platform for quantum computers will support topologically protected quantum bits making it possible to incorporate the large number of them needed for processing quantum information in quantum computers. Hence, TopoTapered will develop a simplified quantum computer architecture which will be both robust and scalable and therefore will shorten the time to market for quantum computers. 
Furthermore, to ensure the successful commercialization of our innovation, we will identify our product position in the quantum computing value chain and define the most suitable commercialization plan to establish a sustainable business model for TopoTapered.",,2023-08-01,2025-07-31,0.00,150000.00,HORIZON-ERC-POC,TERMINATED,ERC-2022-POC1,HORIZON.1.1
190118992,HORIZON,Quantum Computers for Data Centers,QCDC,"AQT is realizing the first European cloud-accessible quantum computer at internationally competing performance levels. Our two quantum computing setups have been realized within two 19-inch rack cabinets each and are each powered by a single wall-mounted power plug. The hardware is deployed in our data centre and can be installed on-premise at a customer site. The project aims to provide cloud access to AQT's European quantum computers using a novel AQT cloud platform, such that the European quantum ecosystem, in particular our quantum software partners and customers, can thrive without influence or dependence on currently non-EU dominated quantum computing hardware. Our platform infrastructure is meant to be readily extended toward quantum-enabled application services. These future application services will allow us to demonstrate and commercially exploit the advantages of quantum computation in finance, logistics, optimization, materials design, and chemistry.",Quantum Computing,2023-04-01,2025-03-31,3656087.50,2500000.00,HORIZON-EIC-ACC-BF,SIGNED,HORIZON-EIC-2022-ACCELERATORCHALLENGES-01,HORIZON.3.1
